idx,matchtype,partid,ppartid
203,0,n177,n184
204,0,n177,n190
205,0,n178,n175
206,0,n179voice_overlap,n178
207,0,n179,n193
208,0,n180,n177
209,0,n181,n176
210,0,n181,n180
211,0,n182,n179
212,0,n183,n181
213,1,n184,undefined
214,0,n185,n183
215,1,n186voice_overlap,undefined
216,1,n186,undefined
217,0,n187,n186
218,0,n187,n189
219,0,n188,n185
220,0,n189,n187
221,0,n189,n194
222,1,n190,undefined
223,1,n191,undefined
224,0,n192,n188
225,0,n193,n192
226,0,n194,n191
227,1,n195,undefined
228,0,n196,n203
229,0,n197,n202
230,0,n198,n195
231,0,n199voice_overlap,n199
232,0,n199,n210
233,0,n200,n197
234,0,n201,n196
235,0,n201,n201
236,0,n202,n198
237,0,n203,n200
238,1,n204,undefined
239,0,n205,n204
240,1,n206voice_overlap,undefined
241,1,n206,undefined
242,0,n207,n206
243,0,n207,n209
244,0,n208,n205
245,0,n208,n211
246,0,n209,n207
247,0,n209,n213
248,1,n210,undefined
249,0,n211,n208
250,0,n212,n212
251,1,n213,undefined
252,1,n214,undefined
253,0,n215,n215
254,0,n216,n214
255,0,n217voice_overlap,n221
256,1,n217,undefined
257,0,n218,n216
258,0,n219,n217
259,0,n219,n222
260,0,n220,n218
261,0,n221,n220
262,0,n222,n219
263,0,n223,n227
264,0,n224,n224
265,0,n225,n223
266,0,n226voice_overlap,n231
267,1,n226,undefined
268,0,n227,n226
269,0,n228,n225
270,0,n228,n233
271,0,n229,n232
272,0,n230,n229
273,0,n231,n228
274,1,n232,undefined
275,0,n233,n230
276,1,n234,undefined
277,0,n235,n245
278,0,n236,n235
279,0,n236,n240
280,0,n237,n239
281,0,n238voice_overlap,n241
282,0,n238,n258
283,0,n239,n237
284,0,n239,n244
285,0,n240,n242
286,0,n241,n238
287,0,n241,n243
288,0,n242,n247
289,0,n243,n246
290,0,n244,n249
291,0,n245,n248
292,0,n246,n251
293,0,n247,n253
294,0,n248,n252
295,1,n249voice_overlap,undefined
296,1,n249,undefined
297,0,n250,n250
298,0,n250,n254
299,0,n251,n256
300,0,n252,n255
301,0,n253,n259
302,1,n254,undefined
303,1,n255,undefined
304,1,n256,undefined
305,1,n257,undefined
306,1,n258,undefined
307,0,n259,n262
308,0,n260,n261
309,0,n261,n266
310,0,n261,n271
311,0,n262,n263
312,0,n263voice_overlap,n264
313,0,n263,n280
314,0,n264,n265
315,0,n265,n267
316,1,n266,undefined
317,1,n267,undefined
318,1,n268,undefined
319,0,n269,n268
320,0,n270,n270
321,0,n270,n277
322,0,n271,n269
323,0,n271,n275
324,1,n272voice_overlap,undefined
325,1,n272,undefined
326,0,n273,n273
327,0,n273,n276
328,0,n274,n272
329,0,n274,n281
330,0,n275,n278
331,0,n276,n274
332,0,n276,n282
333,1,n277,undefined
334,1,n278,undefined
335,1,n279,undefined
336,0,n280,n287
337,1,n281,undefined
338,0,n282,n286
339,0,n283,n285
340,0,n284,n284
341,0,n284,n293
342,0,n285,n283
343,0,n285,n288
344,0,n286voice_overlap,n289
345,1,n286,undefined
346,1,n287,undefined
347,0,n288,n291
348,0,n289,n292
349,0,n290,n290
350,0,n290,n297
351,1,n291,undefined
352,1,n292,undefined
353,1,n293,undefined
354,1,n294,undefined
355,0,n295,n296
356,0,n295,n305
357,0,n296,n295
358,0,n296,n303
359,0,n297,n294
360,0,n297,n301
361,0,n298voice_overlap,n307
362,1,n298,undefined
363,0,n299,n298
364,0,n299,n302
365,0,n300,n304
366,0,n301,n299
367,0,n301,n306
368,0,n301,n311
369,1,n302,undefined
370,1,n303,undefined
371,1,n304,undefined
372,0,n305,n310
373,0,n306,n315
374,0,n307,n312
375,0,n307,n314
376,0,n308,n317
377,0,n309,n309
378,0,n309,n318
379,0,n310,n308
380,0,n310,n313
381,0,n310,n319
382,0,n311voice_overlap,n316
383,0,n311voice_overlap,n323
384,0,n311,n327
385,0,n311,n338
386,0,n311,n344
387,1,n312,undefined
388,1,n313,undefined
389,1,n314,undefined
390,1,n315,undefined
391,1,n316,undefined
392,1,n317,undefined
393,1,n318,undefined
394,1,n319,undefined
395,0,n320,n320
396,0,n320,n341
397,0,n321,n340
398,0,n322,n324
399,0,n322,n332
400,0,n322,n333
401,0,n322,n342
402,0,n322,n358
403,0,n323,n321
404,0,n323,n329
405,0,n323,n335
406,0,n323,n343
407,0,n323,n349
408,0,n324,n325
409,0,n324,n330
410,0,n324,n336
411,0,n324,n345
412,0,n324,n356
413,0,n325,n322
414,0,n325,n331
415,0,n325,n337
416,0,n325,n346
417,0,n325,n351
418,1,n326,undefined
419,0,n327,n348
420,1,n328,undefined
421,0,n329,n347
422,0,n330,n354
423,1,n331,undefined
424,0,n332,n357
425,1,n333,undefined
426,1,n334,undefined
427,0,n335,n363
428,1,n336,undefined
429,0,n337,n360
430,0,n338,n364
431,0,n339,n365
432,1,n340,undefined
433,0,n341,n362
434,0,n342,n371
435,0,n343,n359
436,0,n344,n368
437,0,n345,n370
438,0,n346,n372
439,1,n347,undefined
440,0,n348,n369
441,0,n349,n366
442,1,n350,undefined
443,1,n351,undefined
444,1,n352,undefined
445,0,n353,n389
446,0,n354,n367
447,0,n355,n376
448,1,n356,undefined
449,0,n357,n373
450,1,n358,undefined
451,1,n359,undefined
452,1,n360,undefined
453,1,n361,undefined
454,0,n362,n378
455,1,n363,undefined
456,1,n364,undefined
457,1,n365,undefined
458,1,n367,undefined
459,1,n368,undefined
460,1,n366,undefined
461,1,n369,undefined
462,1,n370,undefined
463,1,n371,undefined
464,1,n372,undefined
465,1,n373,undefined
466,1,n374,undefined
467,1,n375,undefined
468,1,n376,undefined
469,0,n377,n383
470,0,n378,n375
471,0,n379,n385
472,0,n379,n391
473,0,n380,n386
474,1,n381,undefined
475,0,n382,n387
476,0,n382,n393
477,0,n383,n374
478,0,n383,n377
479,0,n384,n379
480,0,n385,n381
481,0,n386,n382
482,1,n387,undefined
483,0,n388,n384
484,1,n389,undefined
485,1,n390,undefined
486,1,n391,undefined
487,1,n392,undefined
488,0,n393,n395
489,0,n393,n404
490,0,n394,n394
491,0,n395,n396
492,0,n396,n392
493,0,n396,n397
494,0,n397,n398
495,1,n398,undefined
496,1,n399,undefined
497,1,n400,undefined
498,1,n401,undefined
499,1,n402,undefined
500,0,n403,n405
501,1,n404,undefined
502,1,n405,undefined
503,0,n406,n407
504,0,n407,n408
505,1,n408,undefined
506,1,n409,undefined
507,1,n410,undefined
508,1,n411,undefined
509,1,n411voice_overlap,undefined
510,0,n412,n411
511,0,n413,n415
512,0,n413,n423
513,0,n414,n414
514,0,n415,n418
515,0,n416,n416
516,0,n417,n417
517,1,n418,undefined
518,1,n419,undefined
519,1,n420,undefined
520,1,n421,undefined
521,1,n422,undefined
522,0,n423,n425
523,1,n424,undefined
524,1,n425,undefined
525,0,n426,n427
526,0,n427,n429
527,1,n428,undefined
528,1,n429,undefined
529,1,n430,undefined
530,1,n431,undefined
531,1,n431voice_overlap,undefined
532,0,n432,n431
533,0,n433,n444
534,0,n433,n445
535,0,n434,n434
536,0,n435,n433
537,0,n436,n435
538,0,n437,n436
539,0,n438,n438
540,0,n439,n437
541,0,n440,n440
542,0,n441,n439
543,0,n442,n442
544,0,n443,n441
545,0,n444,n443
546,1,n445,undefined
547,1,n446,undefined
548,0,n447,n448
549,1,n448,undefined
550,0,n449,n451
551,0,n452,n449
552,0,n453,n447
553,0,n454,n450
554,1,n450,undefined
555,0,n451,n446
556,2,undefined,n155
557,2,undefined,n156
558,2,undefined,n234
559,2,undefined,n236
560,2,undefined,n257
561,2,undefined,n260
562,2,undefined,n279
563,2,undefined,n300
564,2,undefined,n326
565,2,undefined,n328
566,2,undefined,n334
567,2,undefined,n339
568,2,undefined,n350
569,2,undefined,n352
570,2,undefined,n353
571,2,undefined,n355
572,2,undefined,n361
573,2,undefined,n380
574,2,undefined,n388
575,2,undefined,n390
576,2,undefined,n399
577,2,undefined,n400
578,2,undefined,n401
579,2,undefined,n402
580,2,undefined,n403
581,2,undefined,n406
582,2,undefined,n409
583,2,undefined,n410
584,2,undefined,n412
585,2,undefined,n413
586,2,undefined,n419
587,2,undefined,n420
588,2,undefined,n421
589,2,undefined,n422
590,2,undefined,n424
591,2,undefined,n426
592,2,undefined,n428
593,2,undefined,n430
594,2,undefined,n432
